age,income,experience,score,click_rate,time_spent,noise1,noise2,target
28,71777,15,69,0.07,79,0.4118190023100806,0.48734367114298405,0
58,76250,18,85,0.29,62,0.7897076739688469,0.7855117848990438,1
37,70130,1,88,0.07,79,0.65417935903406,0.9769592068119898,1
23,79346,19,79,0.26,60,0.1797066658855868,0.9551300000847747,1
44,32537,12,56,0.05,65,0.535514901677154,0.7930648847886961,0
33,45216,8,71,0.27,23,0.747691009128637,0.3771742369608765,1
28,33009,6,94,0.05,32,0.8959122759653094,0.0659594915779067,0
45,59327,12,59,0.24,57,0.8625983704065535,0.09837697772908116,0
21,44209,7,57,0.14,64,0.1546585001854821,0.0011523407945874808,0
39,78443,18,76,0.23,44,0.48803324648521085,0.001902843224855899,1
47,45029,22,59,0.15,22,0.47826862946078497,0.9364217989334619,0
26,97613,14,63,0.07,74,0.8987370618979222,0.9270169692074991,0
27,86997,8,60,0.24,51,0.0019373091368668494,0.6675537997048021,1
54,92559,24,55,0.07,58,0.7387135376269276,0.7266767242203025,0
33,94892,20,70,0.28,20,0.6186415165462653,0.5132084566500378,1
36,38635,22,82,0.06,30,0.9215714731765662,0.23784225608833243,0
55,63065,14,68,0.17,21,0.45691735033173797,0.9143850491088091,1
59,63783,5,88,0.23,24,0.6576722498755007,0.27769146735935,1
23,64152,9,73,0.15,75,0.9727470304215423,0.7396712609496345,1
21,88741,8,67,0.1,41,0.7439037629159088,0.24543568472387967,0
25,81502,2,84,0.24,65,0.06738397412976738,0.8701484180491779,1
23,59092,16,92,0.25,32,0.16753355097267453,0.651239434425481,1
48,47653,13,86,0.28,67,0.821451102959748,0.642695020556732,1
37,70469,7,68,0.14,42,0.33479554097365893,0.09736723674191994,0
45,89754,16,73,0.18,66,0.7059181105982749,0.4194689031692016,1
53,59978,7,83,0.14,50,0.699823733343828,0.5249085075495993,0
29,73169,14,71,0.11,54,0.9937005233882049,0.29403628841111007,1
55,78287,14,53,0.24,57,0.4698727236363408,0.8809746118334657,1
33,84745,12,59,0.13,60,0.7378323605059232,0.8376699415112218,0
50,35543,1,51,0.16,54,0.048752877286102336,0.49362091234253,0
34,86392,1,57,0.15,64,0.46259102069308855,0.3400312026441149,0
27,51067,12,82,0.23,32,0.18668154481713095,0.8015422720056444,1
33,81033,20,87,0.28,73,0.8405715517131769,0.19689144754123877,1
42,75256,21,92,0.22,26,0.839908332016071,0.07151631509363277,1
59,99345,15,77,0.17,24,0.2363644207056953,0.04571048607194772,1
40,52191,4,59,0.24,77,0.3182851531164682,0.03868326089800023,0
35,58992,7,94,0.21,48,0.7024777844603521,0.48888865647017843,1
37,78803,16,50,0.07,27,0.738265923412267,0.2553136360993602,0
43,93477,3,83,0.07,27,0.6576316021143738,0.6903751213619475,1
45,43210,7,52,0.06,73,0.9966946375261613,0.6538915740405054,0
44,56270,24,58,0.16,26,0.868683211985112,0.5420200071440249,0
48,92008,22,54,0.26,38,0.4170588807525225,0.35284328142796295,1
34,35197,6,91,0.13,58,0.3269767215418836,0.8504562449857302,0
20,37452,16,59,0.15,42,0.5968497479960805,0.7097027533000535,0
44,71486,24,61,0.28,55,0.8176363358335038,0.27152612403165854,1
26,44859,8,67,0.26,61,0.47534347373655284,0.50168866231351,0
28,57236,23,70,0.22,51,0.7376926068316395,0.15627120882426326,0
43,61899,22,70,0.12,64,0.019160039506042392,0.3287762911019072,0
20,62083,6,50,0.08,23,0.9258401082981041,0.9971401828635337,0
27,97708,10,52,0.05,49,0.7738347275154525,0.22384422026719597,0
43,46663,16,54,0.08,70,0.3941900867641329,0.6983023557181385,0
30,49053,11,74,0.12,61,0.3840123255192921,0.23841864577702832,0
36,41085,13,57,0.19,58,0.10288680774850534,0.9381345390058115,0
27,60564,6,66,0.07,24,0.8161537238825284,0.31013284499036753,0
54,89095,24,58,0.08,22,0.7686295092571844,0.3466890746467093,0
54,99517,1,81,0.1,41,0.6302497075356163,0.5938597730661872,1
52,51153,21,55,0.21,47,0.10145647214403453,0.5881117711149347,0
24,35247,19,89,0.2,41,0.2623413656370708,0.5790763897971798,1
58,40553,12,70,0.19,41,0.4589144732646183,0.5732546684062407,0
47,50811,24,56,0.11,53,0.26597194376422595,0.3121868937202087,0
26,36135,6,56,0.14,48,0.4339739231529036,0.43441022333854173,0
28,35573,18,88,0.07,62,0.22595754063765228,0.593433443140977,0
27,37189,13,76,0.11,61,0.3496005038060167,0.6712701236671158,0
31,73646,7,57,0.27,79,0.6522968835966276,0.25312901352359485,1
53,83687,23,58,0.29,74,0.8923610807796951,0.7014750617029408,1
52,98312,13,77,0.21,32,0.38503068123282524,0.9232762501126367,1
42,57564,21,64,0.28,26,0.6919082311607575,0.7579277033437887,0
43,58835,8,51,0.21,29,0.1347930863825203,0.08423280282272172,0
56,91587,21,56,0.06,47,0.5408179778557615,0.46912622009002103,0
54,37697,17,67,0.3,23,0.9217042255545136,0.43526383553907444,0
59,47046,9,71,0.07,78,0.027935804457383417,0.33650331201826356,0
41,87823,20,59,0.22,51,0.26755736172680855,0.4913201399030033,1
46,83370,13,82,0.11,41,0.13249353368014427,0.43963377339987875,1
54,39615,2,56,0.15,39,0.5331214794964148,0.006170477167360411,0
20,35060,4,52,0.21,67,0.6796424640713253,0.2365552780920699,0
54,90519,2,63,0.16,39,0.05777919206310933,0.2137821452823473,1
56,91158,4,93,0.11,25,0.07028442064055129,0.34925954124279956,1
33,64782,18,85,0.13,28,0.8696291927489054,0.17445674172430503,1
22,88255,5,62,0.14,47,0.4562331485675083,0.06780144371151198,0
20,86918,19,65,0.29,32,0.46295159963864785,0.1966128550350128,1
24,55256,10,65,0.25,50,0.9445803949581169,0.854186786419465,0
45,60005,18,54,0.16,58,0.3202096102649318,0.7970393408645291,1
33,36638,21,74,0.1,69,0.8970236470327904,0.4420961974257448,0
58,67419,10,87,0.25,33,0.9742547445762636,0.8778150339787635,1
46,63377,5,87,0.09,41,0.24169419765043032,0.2326656181207839,1
28,73116,17,87,0.1,56,0.514038849212543,0.5842091411992317,1
34,66634,22,88,0.14,73,0.5343561529002584,0.14292487554641098,1
34,53382,13,90,0.27,64,0.8661681117920639,0.8334006895493897,1
45,86063,23,75,0.08,43,0.30390813638182157,0.13058155749185252,1
32,52394,17,62,0.08,27,0.7980424433534148,0.03186015897844319,0
51,97789,9,93,0.17,34,0.9710073912780117,0.2734442300681953,1
58,30864,24,75,0.12,70,0.8403366527442993,0.9009350893470234,0
51,70222,12,50,0.19,60,0.9091402834567175,0.12945708192644323,1
23,43666,14,57,0.16,25,0.7083544391429696,0.3306702686955396,0
49,50955,14,53,0.16,42,0.9039557602771736,0.31641499301219267,0
56,99590,8,70,0.08,44,0.16485063535232736,0.801646274096891,0
42,96471,23,71,0.09,50,0.712361415041626,0.42152539978002457,1
58,73298,5,86,0.26,65,0.7318773549714761,0.6115670496146833,1
34,93108,19,52,0.27,48,0.43918094649942063,0.40438300583287545,1
48,78924,14,68,0.11,42,0.07973846735791212,0.551457015136869,0
55,46709,9,50,0.08,29,0.6224437462608272,0.062440724017431726,0
32,39726,7,78,0.06,28,0.051880806570480664,0.3740294381401349,0
51,90824,8,72,0.2,68,0.38240249615654953,0.8551058377399537,1
26,70542,14,82,0.23,32,0.39367022897575166,0.6910675631822417,1
41,50245,22,90,0.14,51,0.9989225084633329,0.98182904414662,0
47,64753,14,72,0.22,68,0.2998020337291105,0.7879195373761432,1
21,51316,11,54,0.23,70,0.8204539379236886,0.45150971489177405,0
25,45960,14,56,0.28,64,0.053171685218353804,0.6762804576995428,0
47,60791,21,55,0.07,60,0.5297659853858404,0.7759136756882891,0
47,55216,8,71,0.1,20,0.5366916785560121,0.26968365992134113,0
39,62467,3,62,0.07,20,0.6287498531944623,0.06001789061558427,0
49,94427,23,61,0.27,56,0.8100052033899383,0.4058472679985483,1
30,92047,18,53,0.25,59,0.761923381723148,0.14467316210251524,1
47,77014,3,57,0.19,37,0.7610081283323745,0.2772411197625019,1
44,34078,13,86,0.07,55,0.43229393432428687,0.9468454954741332,0
58,80519,12,80,0.12,50,0.7274714824665264,0.8470825932225186,1
52,34042,15,86,0.12,73,0.4913157177491215,0.5924638345676603,0
20,79052,18,94,0.19,20,0.0669511783450022,0.40125670653237233,1
46,44389,5,75,0.11,66,0.890181782611727,0.2643303602078515,0
32,98111,7,92,0.07,71,0.8901633061387604,0.5714582797186667,1
22,80733,11,57,0.23,55,0.3228787646551393,0.5331602496728925,1
58,64754,11,89,0.12,76,0.9139026192809402,0.780780808381533,1
25,48624,15,82,0.16,28,0.7579840385050814,0.9280201887640572,1
27,56681,10,94,0.08,41,0.40080123086202313,0.32893730133001897,0
46,54704,15,78,0.25,75,0.3315055984252535,0.20629711075679413,1
28,37493,13,54,0.19,47,0.975142699386101,0.4027996159457051,0
56,99639,14,77,0.28,45,0.7126269631113109,0.4375413024132041,1
52,84383,17,89,0.17,71,0.37880995477120016,0.03987028948436244,1
43,32994,13,66,0.29,29,0.6419838879808051,0.8616965321995227,0
34,99280,10,72,0.27,75,0.5715261990373689,0.9955923386674953,1
51,77234,1,94,0.19,66,0.5245400227039607,0.9232086927115225,1
51,77291,1,58,0.28,22,0.6447018988118438,0.8606649794869103,1
43,35594,15,51,0.13,21,0.5376263221803619,0.9926003034595411,0
31,37371,16,81,0.14,73,0.6547903536863806,0.9078084319748863,0
58,77315,12,80,0.06,56,0.907568562223639,0.6883676207433173,1
21,46626,24,56,0.2,75,0.9932649681452719,0.16675664877216767,0
22,37130,6,79,0.23,50,0.7092868733480133,0.15635012333686782,1
56,36828,6,52,0.24,52,0.9278208017504327,0.04877974656335271,0
36,87514,12,58,0.09,51,0.8584102538829541,0.4118308671876164,0
21,82664,15,59,0.16,62,0.29503739798127915,0.8088240770900036,1
21,47883,4,75,0.09,31,0.9329079830430356,0.4902959447989105,0
47,73059,24,50,0.22,77,0.07080900005262147,0.3663217057115824,1
42,72932,4,79,0.09,22,0.32992182104354484,0.10923586419874975,1
56,91269,2,87,0.28,74,0.6399449351048,0.05175330909058817,1
51,32035,24,64,0.11,67,0.526915445895142,0.3991791434236073,0
52,70745,12,74,0.12,45,0.5424123928293626,0.09992538018373243,1
20,47241,7,55,0.26,33,0.794888329801248,0.10354817273798278,0
38,82975,20,67,0.16,31,0.19470368228619228,0.39534842497064626,1
21,53154,9,50,0.06,71,0.9820755099674586,0.5028434565027161,0
45,55625,9,52,0.17,45,0.43745822729717054,0.18668288697451507,0
51,74950,8,66,0.07,35,0.9498432648055952,0.6846356862604369,0
25,86396,14,57,0.3,72,0.38311586449683266,0.41869200068281087,1
51,43331,1,89,0.2,27,0.6017866688516357,0.09192253773871606,1
23,93927,23,66,0.11,68,0.4503114713231361,0.6370341245627152,0
30,93014,21,74,0.19,68,0.6759351638519703,0.35694481869513883,1
36,69346,23,90,0.07,47,0.1836247293841865,0.05232147707626622,1
57,84478,12,61,0.25,26,0.40062853284048494,0.9479815796671922,1
43,42254,2,78,0.28,34,0.06838112210743141,0.5711969571056696,1
24,85734,13,74,0.27,79,0.5981014169900135,0.4777203690306373,1
53,58621,4,85,0.14,60,0.9626816985891228,0.8591373948538347,0
25,76121,20,74,0.13,55,0.04590651515738575,0.9367404293137248,1
41,90197,18,78,0.06,27,0.6596300245015665,0.22032186816621135,1
30,72431,19,60,0.21,29,0.7750979636376597,0.8101445016750272,1
35,34837,16,53,0.18,34,0.21310842417762887,0.8310799267742651,0
52,78994,14,63,0.16,74,0.27307429336854705,0.05440279467759901,1
28,42615,8,87,0.28,37,0.20158108624003535,0.7119441151782727,1
25,31466,12,66,0.09,65,0.29741263667630746,0.06296788179957702,0
35,60771,9,51,0.05,56,0.11008255919337417,0.5946732463899007,0
48,95911,6,57,0.07,60,0.37034787128542235,0.669236777138674,0
22,50746,18,85,0.11,64,0.36892919531439483,0.3670586883509698,0
39,90739,2,59,0.06,76,0.8072674566054089,0.880787496657658,0
55,31893,23,56,0.18,70,0.8009583156007184,0.8005117069674723,0
38,60573,8,85,0.13,62,0.7967233633093648,0.9259597136213963,1
45,70874,24,65,0.1,63,0.5670359132189303,0.3148895266309818,0
22,63367,14,63,0.24,54,0.32588068686633453,0.021527800061810876,1
38,51199,6,65,0.1,21,0.41096451640043374,0.811461266997552,0
39,87724,10,74,0.22,74,0.3177435047620818,0.22297735599644075,1
51,66405,8,90,0.14,41,0.5819279049807213,0.4671560405670556,1
26,45989,17,53,0.18,34,0.9379791213136662,0.8173211718640307,0
52,58931,12,78,0.28,56,0.2844967840557142,0.21613517867529075,1
59,39290,17,55,0.06,58,0.4588518176461297,0.31190876278632373,0
58,68367,13,50,0.18,55,0.6551169301393401,0.4390799863377891,1
37,60133,19,88,0.26,24,0.8446949117955828,0.271824850165441,1
59,57052,12,50,0.2,76,0.2533339206409648,0.46132142300282863,0
20,70475,16,89,0.12,67,0.28028995098039056,0.009596644494526685,1
30,87656,5,52,0.15,34,0.8851655322559362,0.21218797275132728,0
47,34633,16,50,0.22,46,0.08025811998580301,0.8325533596629755,0
44,47304,6,50,0.27,35,0.6054476059672126,0.41348195851300074,0
42,76546,11,88,0.06,76,0.8604554160959871,0.6364057677419397,1
50,37008,17,70,0.07,55,0.9217427503515333,0.2322879276355424,0
49,78291,23,94,0.13,57,0.012687254232868761,0.649878664448666,1
54,57405,14,79,0.11,37,0.3696659774941843,0.9999738676462568,0
26,66386,6,81,0.12,54,0.25726478612104664,0.595287639396805,1
35,50827,23,82,0.11,44,0.5680325887747232,0.6283585626419088,0
45,63040,11,71,0.1,41,0.6328622768136293,0.11151982446199749,1
21,90354,12,79,0.08,75,0.9997744776055287,0.4033814716659846,1
20,48157,13,53,0.28,50,0.5127624968989256,0.8607248984828896,0
31,65315,4,72,0.09,78,0.5514668787372697,0.8342719736583323,1
24,65932,7,93,0.1,56,0.4143135078056419,0.5223991103613219,1
56,51164,2,74,0.11,53,0.14767723783857567,0.9034541497377725,0
51,44414,6,61,0.28,42,0.30332464028059847,0.14293701820571802,0
28,44327,6,66,0.24,35,0.24698491771103182,0.6581894046615252,0
54,30946,18,64,0.25,25,0.801219691348342,0.2488835765021954,0
38,44693,20,59,0.08,78,0.5458164215523124,0.6455614051052366,0
35,57241,8,84,0.26,34,0.29619363021534206,0.0873996891051958,1
22,45540,8,78,0.15,37,0.48909290289350327,0.9436090951049387,0
39,94757,8,61,0.12,57,0.21886488309541552,0.7863320395904927,0
43,71203,8,50,0.19,32,0.18512715057321794,0.2009615648958908,1
52,55081,1,50,0.26,43,0.8599422372418859,0.6372765685720373,0
43,91861,2,59,0.24,32,0.9448108544661389,0.7591456405374711,1
30,41350,12,67,0.27,20,0.08001460782698788,0.2094458218293609,0
27,85512,15,51,0.28,67,0.7648827071864205,0.0933303077139771,1
55,86809,4,57,0.11,55,0.45331153642729016,0.35177976609569983,0
57,72832,3,71,0.16,68,0.38897164130825335,0.135754341195232,1
59,58369,14,71,0.05,37,0.689411309547821,0.5657117051042293,0
39,61728,22,75,0.27,67,0.26625368533436566,0.424114909573415,1
54,47576,23,75,0.09,52,0.020581226283587384,0.46242433810090544,0
44,59001,8,58,0.27,57,0.214002847820015,0.5428634773412074,0
54,30390,13,70,0.13,62,0.1849250767091689,0.9820521459426015,0
44,75436,23,80,0.14,25,0.03404938155356252,0.7926356664011089,1
48,41569,19,92,0.06,36,0.3213154160263213,0.6294714949828507,0
37,43029,22,55,0.13,23,0.47451853351413986,0.36370561447933614,0
37,52490,5,63,0.27,33,0.7358286970505784,0.027069353136965124,0
21,75875,13,82,0.06,49,0.32566132549259685,0.11652761071875173,1
54,35867,20,56,0.15,65,0.1945402656577434,0.7308672505393837,0
35,39121,1,73,0.06,39,0.2306197692536054,0.36920392824192283,0
55,31539,16,58,0.14,27,0.8911770791617145,0.33443743584264485,0
52,47027,23,60,0.09,73,0.20472040641736877,0.8889783585908492,0
23,38921,24,72,0.11,21,0.8792406675165103,0.4845088905137711,0
52,80435,2,51,0.27,56,0.4470989954877954,0.8995770574131097,1
33,40310,7,64,0.16,23,0.9344004323485264,0.8866385104021997,0
40,93965,6,84,0.12,29,0.40809213630469865,0.08018129171455446,1
39,99922,5,85,0.2,39,0.17768293380581734,0.9453629784335357,1
27,42242,4,77,0.09,79,0.5490299292113376,0.07695488360755742,0
26,38947,2,88,0.11,75,0.5877066028490677,0.9635061152472127,0
22,91816,10,93,0.19,72,0.6354893032732697,0.4526149175993903,1
36,78785,22,53,0.11,54,0.4114967184695272,0.7608606757545763,0
52,30507,5,59,0.22,67,0.048601340794495185,0.7061443671898534,0
31,96972,18,55,0.17,29,0.626719922949512,0.5184949743245285,1
41,57151,10,79,0.24,47,0.9330301542669718,0.6194548188356432,1
41,41618,23,84,0.29,34,0.9575586285057303,0.9499181814991947,1
49,46122,22,92,0.08,55,0.5968853678610146,0.9273514906632403,0
57,37354,15,59,0.13,20,0.019887017954431818,0.6543260502590869,0
57,60979,9,81,0.13,41,0.10603848084881229,0.6577186789345252,1
27,82774,11,91,0.09,46,0.8339905257694428,0.24693869339183805,1
46,35037,21,91,0.25,48,0.8297444376533422,0.8286234947181238,1
46,58633,17,52,0.24,34,0.946015605268362,0.6326033330020768,0
53,54495,21,75,0.17,29,0.5637744228668131,0.8262487919984304,1
40,94550,9,64,0.18,39,0.8638162944684391,0.6578524102879766,1
49,66483,23,66,0.06,41,0.8248869256818773,0.299320026031615,0
52,64069,16,76,0.19,69,0.5894208062071001,0.18948140273081326,1
47,37370,6,67,0.25,67,0.7836375533670537,0.07696584422315544,0
52,69133,22,68,0.19,72,0.12571054451247143,0.5859949322601269,1
24,30692,11,61,0.12,78,0.6392027568801203,0.284051357508735,0
38,58926,23,73,0.22,28,0.953450956337194,0.6305095145908143,1
23,73390,17,54,0.14,75,0.16195749843940777,0.05865644488377153,0
54,79593,4,73,0.19,70,0.7440426818000011,0.3756630650056271,1
36,35209,15,76,0.17,51,0.32078579734338464,0.2605532153697756,1
47,36533,1,79,0.15,36,0.81710392371783,0.37033407800111307,0
49,37211,22,64,0.23,61,0.6972109337056676,0.054283429756587065,0
48,39927,20,87,0.27,38,0.9261742576066234,0.7241814188334466,1
25,54594,1,93,0.05,59,0.7119354196938953,0.11669733314297326,0
54,37933,9,83,0.28,46,0.4103105949628616,0.014402626348153258,1
56,70696,12,76,0.18,70,0.01089253449032579,0.9462891013893335,1
43,95449,4,69,0.23,56,0.7929168967708282,0.1928763823650499,1
48,97616,22,90,0.26,53,0.40846496665540555,0.8280612984454607,1
50,36089,13,81,0.17,66,0.6706340948348597,0.9644705997571243,1
54,86548,7,53,0.26,68,0.10506648124841877,0.5341211995687619,1
52,56123,8,54,0.09,78,0.8909686358976551,0.5261181600475464,0
40,37797,13,57,0.09,29,0.4356577974065051,0.36741724498340966,0
51,80013,11,71,0.21,49,0.9196917338086819,0.4255948647753949,1
42,38346,9,91,0.27,40,0.707017433794491,0.4820753969533401,1
52,63672,24,56,0.27,40,0.12146226209805322,0.1520944037206292,1
22,47653,16,71,0.21,73,0.5791966134076992,0.36473672394035916,1
37,79556,10,79,0.18,53,0.9099344479417872,0.8161084426094453,1
44,56140,11,86,0.13,28,0.7999705598834314,0.18239811958147245,0
50,31184,12,65,0.3,53,0.41798040757625,0.7298532469541154,0
22,64493,14,64,0.13,69,0.955064397253907,0.6515866002681907,0
59,74148,19,54,0.24,31,0.2685761808015268,0.057297775282659114,1
43,54846,12,52,0.18,66,0.3751077033183158,0.022428868437680438,0
51,52195,18,72,0.2,40,0.7497141732867983,0.352528462578349,1
41,35606,21,59,0.15,76,0.23290455721551606,0.6921702771318411,0
42,33956,17,54,0.29,39,0.5153744699595479,0.33041792736066156,0
21,46555,3,72,0.19,25,0.7287891901041543,0.6677333006004939,1
46,48690,1,64,0.28,69,0.6439677661423481,0.6654581430279816,0
21,88502,19,67,0.05,64,0.15536991412096823,0.8065546226242687,0
45,78849,4,74,0.19,55,0.6296603161278346,0.09948561470384476,1
36,56347,23,57,0.23,31,0.5727105288051072,0.5771288911874637,0
59,79056,16,80,0.24,60,0.5578448250391125,0.0624971195733145,1
52,93851,12,70,0.28,50,0.8260471865372462,0.1759471402733378,1
28,71850,21,51,0.05,21,0.1838960225250139,0.3255009028561425,0
58,57843,21,71,0.05,35,0.7515659870434475,0.7073892404294659,0
48,92320,13,57,0.17,20,0.7609260177350818,0.9738779750040815,1
45,59793,17,72,0.06,23,0.7226454395808684,0.34252081438591064,0
54,69516,8,81,0.29,66,0.50596831347876,0.5211444854026842,1
44,47857,13,57,0.11,71,0.39553874773773745,0.2590555954224354,0
43,49627,20,53,0.17,20,0.39467716007287956,0.6754896206096147,0
32,91822,5,79,0.07,71,0.7338087139422406,0.36658586795044645,1
26,82248,18,68,0.18,66,0.49789670258287133,0.48159617343827754,1
55,85798,15,72,0.14,54,0.3384337242309269,0.5678128758506288,1
39,74116,12,67,0.06,32,0.6254696844053216,0.6862423299072766,0
20,58557,17,78,0.13,69,0.8370112605030168,0.060051661289753255,0
27,72614,15,72,0.15,64,0.061508741168281755,0.5549010937865937,1
35,42720,2,82,0.3,61,0.9721369577714376,0.431164097814436,1
33,87608,6,67,0.1,50,0.09665193958190432,0.13376508647966712,0
31,65892,17,93,0.19,39,0.5117381207029182,0.2080366683313617,1
42,30924,16,82,0.3,75,0.5602095440377961,0.8838900911001375,1
34,81322,17,56,0.25,26,0.13821070536134816,0.8717760091002368,1
47,56478,20,77,0.3,76,0.9155937530176794,0.03333025442367488,1
53,76418,9,50,0.29,59,0.47146707729249393,0.6894014912362523,1
21,92217,5,88,0.17,52,0.1431205144603933,0.5541873131373541,1
51,41781,23,83,0.22,47,0.7116124028477708,0.9398158431472485,1
42,35515,1,88,0.08,69,0.6634043452426098,0.9080057110224158,0
41,66133,6,68,0.16,63,0.9628655697814476,0.579561912852362,1
44,39095,24,80,0.25,69,0.44151632468774826,0.13895492131850362,1
41,50470,14,62,0.18,79,0.26779597316475934,0.45981502366930016,0
41,73129,17,73,0.23,75,0.05999400629526208,0.7251643669290058,1
25,38531,19,54,0.24,63,0.7331215250802694,0.9517366350898714,0
34,67038,1,72,0.11,39,0.6172776892304224,0.3638294057525826,1
56,72674,1,68,0.27,51,0.9726108349007595,0.7846714759535519,1
52,59831,13,50,0.16,28,0.7121649798036325,0.6833407532817237,0
27,87174,14,82,0.1,53,0.9331614799382161,0.07829277714226213,1
24,41279,6,82,0.27,33,0.9915787947795804,0.557976850286288,1
58,68220,6,81,0.15,23,0.4284311442326858,0.18350883353938585,1
23,90610,1,77,0.24,48,0.1502950133692771,0.6835492921777645,1
25,82719,14,86,0.19,34,0.1958507769032637,0.6100848469406392,1
51,83051,3,90,0.15,36,0.3183752231123167,0.9730480916338331,1
49,86652,23,61,0.25,38,0.5088957670662728,0.9353826651248095,1
54,95524,10,58,0.2,57,0.12241999939635617,0.009372833598881192,1
59,36470,19,60,0.15,28,0.3017178718552357,0.08002943017169961,0
35,97598,19,82,0.08,46,0.3077938473829154,0.7691343114295612,1
32,71798,19,68,0.27,68,0.004085654964712804,0.6856430729760769,1
49,83473,23,91,0.06,34,0.35416873966639273,0.8009455985168914,1
38,49880,4,83,0.27,56,0.11615220008467142,0.26681492266832363,1
36,74439,20,56,0.14,47,0.42971137966238915,0.8493227687624766,0
38,44308,19,80,0.21,69,0.1965367374037491,0.4424194719881359,1
47,65081,10,51,0.28,74,0.8221142396931961,0.2619084846744417,1
45,80383,2,68,0.09,23,0.08052535277382356,0.010607747584892357,0
56,39837,4,87,0.19,40,0.8656604314182001,0.8713640348195938,1
45,82151,24,81,0.24,75,0.5805266155245983,0.5353438492401724,1
42,66824,6,59,0.24,53,0.4586406631983575,0.9753820837519926,1
28,63073,7,90,0.18,38,0.5497423168939102,0.7146813895672595,1
31,56299,16,57,0.21,78,0.37610912917766925,0.08041714348977858,0
20,88861,7,75,0.24,56,0.12761190499194508,0.5881911864021424,1
20,60063,18,79,0.26,77,0.76587981578378,0.017124539823347495,1
53,99453,20,60,0.24,23,0.9279115900964156,0.5577818542129321,1
51,98472,22,90,0.14,56,0.9500676231198647,0.35020166309908074,1
44,44506,19,69,0.3,70,0.6707115062227444,0.6432958347187656,0
59,56026,9,69,0.16,51,0.4103474265166672,0.5415742062462707,0
20,57672,20,58,0.06,64,0.47835996227649646,0.2613503234144884,0
35,68417,10,57,0.14,67,0.6569656969893156,0.162350609105824,0
58,82413,13,64,0.08,31,0.8230725165083479,0.4047114863417496,0
24,95066,18,83,0.08,60,0.3745671375430405,0.9868363148496045,1
41,89213,16,73,0.12,75,0.9167812247811112,0.43569864054927165,1
48,80971,22,82,0.06,35,0.3242721549306129,0.7487871378222916,1
22,57281,17,90,0.22,33,0.5308597753272042,0.05697352560537072,1
31,58091,22,90,0.07,73,0.9613618000356137,0.3788657644174036,0
45,80494,13,94,0.1,20,0.9381989154256102,0.5803230371990038,1
35,48610,12,89,0.07,71,0.6957450895277493,0.7511965133284821,0
56,31079,10,76,0.07,74,0.3245601944750087,0.52838365731706,0
41,76751,1,70,0.12,77,0.21903503318400352,0.5152955458007813,0
48,85432,8,54,0.19,51,0.08014335533354422,0.763906912597169,1
33,60951,21,84,0.29,40,0.7086544047393853,0.31328771731890026,1
47,89872,22,70,0.27,23,0.5034506940020357,0.09061052087139254,1
24,37235,18,53,0.27,28,0.5722876939442573,0.3471504710174057,0
49,92712,2,65,0.09,75,0.47239217392573785,0.15899623544943464,0
